player,team,league,season,position,age,minutes,team_possession_pct,psxg_net_per90,save_pct,pass_completion_pct,passes_completed_long_pct,def_actions_outside_pen_per90,crosses_stopped_pct,avg_dist_def_actions,progressive_passes_per90,progressive_passing_distance_per90,passes_into_final_third_per90,progressive_carries_per90,take_on_success_pct,padj_tackles_per90,padj_interceptions_per90,ball_recoveries_per90,blocks_per90,aerial_win_pct,tackle_win_pct,xAG_per90,sca_per90,key_passes_per90,passes_into_penalty_area_per90,take_ons_attempted_per90,tackles_att_3rd_per90,npxG_per90,shots_total_per90,touches_att_pen_per90,carries_into_penalty_area_per90,shots_on_target_pct
Jan Oblak,Atletico Madrid,La Liga,2025/26,GK,31,1122,52.0,-0.13,61.6,68.0,57.0,1.93,8.0,11.5,,,,,,,,,,,,,,,,,,,,,,
Jan Oblak,Atletico Madrid,La Liga,2024/25,GK,30,1122,52.0,0.0,64.7,71.4,59.9,2.03,10.0,12.08,,,,,,,,,,,,,,,,,,,,,,
Juan Musso,Atletico Madrid,La Liga,2025/26,GK,30,2419,52.0,0.24,66.9,79.3,47.1,1.14,10.3,15.1,,,,,,,,,,,,,,,,,,,,,,
Juan Musso,Atletico Madrid,La Liga,2024/25,GK,29,2419,52.0,0.24,68.2,80.9,48.0,1.16,10.5,15.4,,,,,,,,,,,,,,,,,,,,,,
Jose Maria Gimenez,Atletico Madrid,La Liga,2025/26,CB,29,1663,52.0,,,79.6,,,,,4.4,317.6,2.77,0.73,44.5,2.18,3.1,4.17,2.21,62.3,78.4,,,,,,,,,,,
Jose Maria Gimenez,Atletico Madrid,La Liga,2024/25,CB,28,1663,52.0,,,81.2,,,,,4.49,323.95,2.83,0.74,45.4,2.22,3.16,4.25,2.25,63.5,80.0,,,,,,,,,,,
Robin Le Normand,Atletico Madrid,La Liga,2025/26,CB,27,659,52.0,,,76.9,,,,,3.02,296.8,1.14,1.53,43.4,1.79,1.76,7.05,2.19,65.9,56.0,,,,,,,,,,,
Robin Le Normand,Atletico Madrid,La Liga,2024/25,CB,26,900,52.0,,,78.4,,,,,3.08,302.74,1.16,1.56,44.3,1.83,1.8,7.19,2.23,67.2,57.1,,,,,,,,,,,
Axel Witsel,Atletico Madrid,La Liga,2025/26,CB,35,2280,52.0,,,93.3,,,,,3.27,320.2,3.5,2.43,79.5,2.87,1.52,6.17,1.45,54.1,60.0,,,,,,,,,,,
Axel Witsel,Atletico Madrid,La Liga,2024/25,CB,34,2280,52.0,,,98.0,,,,,3.43,336.21,3.68,2.55,83.5,3.01,1.6,6.48,1.52,56.8,63.0,,,,,,,,,,,
Cesar Azpilicueta,Atletico Madrid,La Liga,2025/26,CB,35,1122,52.0,,,85.5,,,,,5.25,383.6,3.45,0.57,43.2,1.13,3.38,7.1,1.49,73.8,69.8,,,,,,,,,,,
